@relation dataset

@attribute class {relevant,irrelevant}
@attribute table numeric
@attribute li numeric
@attribute td numeric
@attribute tr numeric
@attribute h3 numeric
@attribute laptop numeric
@attribute specification numeric
@attribute tech numeric
@attribute notebook numeric
@attribute memory numeric
@attribute processor numeric
@attribute ul numeric
@attribute operating numeric

@data
relevant,0,451,0,1,44,1,1,0,1,1,3,114,1
relevant,8,696,78,79,12,54,0,11,12,6,10,160,2
relevant,0,699,0,0,96,3,0,0,33,4,12,151,5
relevant,3,1579,0,0,49,39,0,2,0,5,6,232,1
relevant,52,532,151,83,48,24,0,3,0,2,11,89,5
relevant,6,1144,30,16,22,34,0,15,9,17,4,256,3
relevant,0,286,0,0,50,1,0,1,0,4,2,54,2
relevant,22,562,74,74,10,50,2,3,5,4,10,126,3
relevant,16,1698,124,54,2,13,2,3,0,10,6,378,10
relevant,28,168,58,34,11,191,0,9,9,30,33,66,2
relevant,0,453,0,1,44,1,1,0,1,1,3,114,1
relevant,10,776,86,79,12,67,0,11,2,11,8,198,1
relevant,1,723,0,0,72,14,0,0,4,6,7,139,4
relevant,3,1529,0,0,37,5,0,2,0,8,6,222,2
relevant,50,575,131,71,48,14,2,3,1,3,10,95,8
relevant,6,1110,30,16,20,15,0,15,3,16,4,236,3
relevant,0,304,0,0,52,21,0,1,0,27,0,58,3
relevant,22,1166,82,82,6,99,2,3,0,3,8,302,1
relevant,16,1710,160,72,2,15,2,3,0,6,13,378,27
relevant,26,166,52,30,11,190,0,9,9,30,34,66,2
relevant,0,455,0,1,44,1,1,0,1,1,4,114,1
relevant,6,790,76,77,12,86,0,11,16,10,10,224,1
relevant,0,727,0,0,76,17,0,0,3,4,7,143,3
relevant,3,1521,0,0,37,5,0,2,0,7,5,222,1
relevant,30,544,79,47,40,43,0,3,0,2,15,95,4
relevant,6,1116,30,16,20,15,0,15,3,18,4,238,3
relevant,0,326,0,0,52,21,0,1,0,30,0,62,3
relevant,22,1158,84,84,6,108,2,3,1,2,12,300,1
relevant,16,1710,164,74,2,15,2,3,0,6,13,378,13
relevant,28,168,58,34,11,190,0,9,9,30,35,66,2
relevant,0,449,0,1,44,1,1,0,1,2,2,114,1
relevant,6,720,76,77,12,63,0,12,5,9,7,180,1
relevant,0,793,0,0,150,5,0,0,45,6,22,177,3
relevant,3,1543,0,0,43,6,0,2,0,5,3,218,1
relevant,22,514,79,45,40,11,1,3,0,2,9,79,3
relevant,6,1134,30,16,28,17,0,15,3,17,5,244,3
relevant,0,330,0,0,56,22,0,1,3,32,3,60,3
relevant,20,586,66,66,4,98,2,3,1,2,8,140,1
relevant,16,1710,168,76,2,19,2,3,12,6,3,378,13
relevant,28,168,58,34,11,190,0,9,9,30,33,66,2
relevant,0,449,0,1,44,1,1,0,1,2,4,112,1
relevant,6,676,78,79,12,55,0,11,1,6,8,162,1
relevant,0,753,0,0,126,6,0,0,37,8,8,165,5
relevant,3,1531,0,0,43,6,0,2,0,5,4,222,1
relevant,36,526,119,67,44,39,0,3,2,3,10,81,3
relevant,6,1138,30,16,30,18,0,15,4,20,5,244,3
relevant,0,356,0,0,50,13,0,1,3,6,3,68,3
relevant,22,572,74,74,6,39,2,3,5,6,8,122,4
relevant,16,1710,248,116,2,31,2,3,1,12,17,378,6
relevant,26,168,52,30,11,191,0,9,9,30,33,66,2
relevant,0,445,0,1,44,1,1,0,1,2,1,112,1
relevant,4,700,16,17,10,47,0,12,5,5,1,174,0
relevant,0,617,0,0,36,3,0,0,7,4,12,121,3
relevant,3,1539,0,0,43,5,0,2,0,6,4,220,1
relevant,21,515,63,39,30,18,0,3,0,2,2,83,2
relevant,6,1130,30,16,22,19,0,15,2,12,4,252,3
relevant,0,309,0,0,54,23,0,1,0,30,3,59,3
relevant,22,928,84,84,6,58,2,3,0,4,11,222,1
relevant,16,1710,104,44,2,29,2,3,0,6,0,378,3
relevant,24,168,46,26,11,191,0,9,9,30,34,66,2
relevant,0,443,0,1,44,1,1,0,1,1,4,112,1
relevant,6,718,44,45,12,58,0,11,2,7,4,182,0
relevant,0,699,0,0,50,16,0,0,3,4,6,129,3
relevant,3,1577,0,0,47,6,0,2,0,5,5,232,1
relevant,32,576,99,59,42,26,0,3,2,3,8,105,4
relevant,6,1160,30,16,22,29,0,15,11,16,5,260,3
relevant,0,302,0,0,52,0,0,5,0,27,1,56,4
relevant,22,1146,84,84,6,48,2,3,0,2,8,274,1
relevant,16,1698,124,54,2,13,2,7,23,8,9,378,10
relevant,26,168,52,30,11,190,0,9,9,30,33,66,2
relevant,0,443,0,1,44,1,1,0,1,2,3,112,1
relevant,10,832,92,85,10,14,0,15,5,6,7,220,1
relevant,1,713,0,0,60,11,0,0,4,6,7,133,4
relevant,3,1571,0,0,47,5,0,2,0,5,6,232,1
relevant,32,574,91,55,42,19,0,3,2,3,7,105,4
relevant,6,1156,30,16,22,35,0,15,10,18,4,260,3
relevant,0,340,0,0,60,26,0,1,0,31,2,66,3
relevant,20,488,68,68,4,47,2,3,0,2,14,102,1
relevant,16,1706,168,76,2,33,2,3,1,13,4,378,6
relevant,26,168,52,30,11,191,0,9,9,30,33,66,2
relevant,0,445,0,1,44,3,1,0,1,1,4,112,1
relevant,10,674,90,83,12,46,0,11,10,7,5,162,1
relevant,0,837,0,0,192,10,0,0,63,8,11,197,3
relevant,3,1595,0,0,49,11,0,2,0,5,4,238,1
relevant,47,560,127,73,48,22,0,3,0,4,8,93,6
relevant,6,1136,30,16,20,34,0,15,13,15,5,252,3
relevant,0,296,0,0,44,22,0,1,0,4,0,56,2
relevant,20,350,66,66,0,41,2,3,0,3,11,52,3
relevant,16,1714,240,112,2,33,2,3,28,17,9,378,6
relevant,26,168,52,30,11,191,0,9,9,30,33,66,2
relevant,0,445,0,1,44,1,1,0,1,1,4,112,1
relevant,6,926,84,85,10,16,0,12,5,9,7,244,2
relevant,0,749,0,0,98,31,0,0,8,6,13,139,5
relevant,3,1583,0,0,49,40,0,2,0,2,6,240,1
relevant,47,556,139,79,46,30,0,3,0,5,8,96,5
relevant,6,1130,30,16,20,24,0,15,4,15,4,248,3
relevant,0,374,0,0,50,0,0,1,0,33,0,70,3
relevant,24,1274,88,88,6,72,2,3,0,8,7,314,1
relevant,16,1698,124,54,2,13,2,3,2,10,4,378,10
relevant,24,168,46,26,11,191,0,9,9,30,33,66,2
irrelevant,0,390,0,1,42,1,0,0,1,0,0,108,0
irrelevant,1,726,0,1,0,1,0,11,0,4,0,184,0
irrelevant,0,599,0,0,36,2,0,0,0,0,1,142,102
irrelevant,3,1525,0,0,29,1,0,2,0,5,3,214,1
irrelevant,0,46,0,0,10,0,0,1,0,0,0,10,0
irrelevant,6,1104,30,16,20,7,0,15,1,25,0,240,3
irrelevant,0,542,0,0,22,0,0,1,0,0,0,120,0
irrelevant,2,520,2,2,16,2,0,3,0,8,0,168,0
irrelevant,16,1706,164,74,2,6,2,3,0,29,27,378,10
irrelevant,42,188,88,54,11,185,0,9,9,33,31,72,1
irrelevant,0,423,0,1,44,1,1,0,1,1,5,114,0
irrelevant,0,638,0,1,0,0,0,11,0,4,0,132,0
irrelevant,0,504,0,0,50,2,0,0,0,0,1,82,0
irrelevant,7,1626,0,0,56,1,0,3,0,0,0,212,0
irrelevant,23,596,79,49,46,10,0,3,0,2,8,97,4
irrelevant,0,1116,0,0,58,97,0,10,0,34,11,236,1
irrelevant,0,1772,0,0,22,17,0,1,63,25,0,325,4
irrelevant,2,308,2,2,0,106,0,10,0,0,1,38,2
irrelevant,8,1495,92,32,30,0,0,0,0,0,0,425,0
irrelevant,6,162,22,10,4,196,1,9,10,44,37,66,2
irrelevant,0,434,0,1,54,1,2,0,1,0,0,125,0
irrelevant,0,668,0,1,0,0,0,11,0,4,0,134,0
